"POL","POLABBREV","POLN","InhalationCancerURF","InhalationCancerSlopeFactor","OralCancerSlopeFactor","AcuteREL","InhalationChronicREL","OralChronicREL","InhalationChronicREL_8HR","IsMultipathway","MolWtCorrection","POLALTN1","OEHHA_PHGV_INFO","POL_TYPE","TOXAPPEN","REG_SUBST","AB2588_CHEM","CTR_CHEM","CARCINOGEN","DEG_ACC","HEADER_OR_DUPLICATE_FLAG","HEADER_OR_DUPLICATE_INFO","HAPS","TAC_ID","EPA_EXEMPT_VOC","EPA_POL","ALPHA_POL_SORT","RPT_GROUP","RPT_GROUP_B","RPT_GROUP_C","RPT_GROUP_D","DELETED_CHEM","CONVERTED_FROM_DEL_CHEM","METAL_MWAF_FLAG","PARENT_POL","PARENT_METAL_GRP","Prop65_Cancer","Prop65_DART","IARC_GROUP","Functional_Grp_Assoc","LAST_UPDT_HEALTH","DISPLAYORDER","DermalAbsorptionFactor","HalfLifeInSoil","RChem_Group_HV","PathwaySoilIngestion","PathwayDermal","PathwayMothersMilk"
195197,B[c]Phenanthren,Benzo[c]phenanthrene,,,,,,,,,,PAHs: Benzo[c]phenanthrene,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.5,,PLACEHOLDER,,,,PLACEHOLDER,"PAHs, total w/ zz Benzophenanthrene c",PAHs - indiv. isomers,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,"2B",PLACEHOLDER,,,,,,,,
191071,Coronene,Coronene,,,,,,,,,,PAHs: Coronene,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,0.5,,PLACEHOLDER,,,,PLACEHOLDER,"PAHs, total w/ zz Coronene",PAHs - indiv. isomers,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,"3",PLACEHOLDER,,,,,,,,
224419,"D[a,j]anthracen","Dibenz[a,j]anthracene",,,,,,,,,,"PAHs: Dibenz[a,j]anthracene",PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.1,,PLACEHOLDER,,,,PLACEHOLDER,"PAHs, total w/ zz Dibenzanthracene a,j",PAHs - indiv. isomers,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,"3",PLACEHOLDER,,,,,,,,
71608601,PFAS: 71608601,"Pentanoic acid, 4,4-bis[(gamma-omega-perfluoro-C8-20-alkyl)thio] derivatives",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,"PFAS: PF0098: Pentanoic acid, 4,4-bis[(gamma-omega-perfluoro-C8-20-alkyl)thio] d",PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
375735,PFBSulfonicAcid,Perfluorobutane sulfonic acid {PFBS},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0100: Perfluorobutane sulfonic acid {PFBS},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
375224,PFBAcid,Perfluorobutanoic acid {Perfluorobutyric acid} {PFBA},,,,,,,,,,Perfluorobutyric acid,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0101: Perfluorobutanoic acid {Perfluorobutyric acid} {PFBA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
335773,PFDSulfonicAcid,Perfluorodecane sulfonic acid,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0103: Perfluorodecane sulfonic acid,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
2043541,PFAS: 2043541,Perfluorodecylethyl iodide,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0109: Perfluorodecylethyl iodide,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
2144549,PFAS: 2144549,Perfluorodecylethyl methacrylate,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0110: Perfluorodecylethyl methacrylate,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
79780395,PFAS: 79780395,Perfluorododecane sulfonate,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0112: Perfluorododecane sulfonate,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
307551,PFDoAcid,Perfluorododecanoic acid {PFDoA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0117: Perfluorododecanoic acid {PFDoA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
335717,PFAS: 335717,Perfluoroheptanesulfonyl fluoride,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0123: Perfluoroheptanesulfonyl fluoride,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
67905195,PFHxDAcid,Perfluorohexadecanoic acid {PFHxDA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0125: Perfluorohexadecanoic acid {PFHxDA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
65104678,PFAS: 65104678,"2-(Perfluorohexadecyl)ethanol",,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0126: 2-(Perfluorohexadecyl)ethanol,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
307244,PFHxAcid,Perfluorohexanoic acid {PFHxA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0130: Perfluorohexanoic acid {PFHxA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
40143768,PFAS: 40143768,Perfluorohexylphosphonic acid ,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0134: Perfluorohexylphosphonic acid,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
382218,PFIB,Perfluoroisobutylene {PFIB},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,1,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0135: Perfluoroisobutylene {PFIB},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
6014751,PFAS: 6014751,Perfluorolauryl ethyl methacrylate,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0137: Perfluorolauryl ethyl methacrylate,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
863090895,PFMBA,Perfluoro-4-methoxybutanoic acid {PFMBA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0138: Perfluoro-4-methoxybutanoic acid {PFMBA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
1153,PFAS: 1153,Perfluoromethylheptane sulfonic acid ,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0140: Perfluoromethylheptane sulfonic acid ,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
31506328,N-MeFOSAmide,Perfluoro-N-methyloctanesulfonamide {N-MeFOSA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0141: Perfluoro-N-methyloctanesulfonamide {N-MeFOSA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
68259121,PFNSulfonicAcid,Perfluorononane sulfonic acid ,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0144: Perfluorononane sulfonic acid ,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
16517116,PFODAcid,Perfluorooctadecanoic acid {PFODA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0146: Perfluorooctadecanoic acid {PFODA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
754916,PFOSAmide,Perfluorooctane sulfonamide {PFOSA},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0148: Perfluorooctane sulfonamide {PFOSA},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
45298906,PFOSulfonate,Perfluorooctane sulfonate {PFOS},,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0149: Perfluorooctane sulfonate {PFOS},PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,P65_DART,,PLACEHOLDER,,,,,,,,
307357,PFAS: 307357,Perfluorooctane sulfonyl fluoride,,,,,,,,,,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,,,,PLACEHOLDER,PFAS: PF0152: Perfluorooctane sulfonyl fluoride,PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,,,,,,,,
2795393,"PFOA,Slt,Es,Slf","Perfluorooctanoic acid {PFOA} (and its salts, esters, and sulfonates)",,0,0,0,0,0,,False,1,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,10,,PLACEHOLDER,,,,PLACEHOLDER,"PFAS: PF0154: Perfluorooctanoic acid {PFOA} and its salts, esters, and sulfonate",PFAS,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,P65_DART,"2B ",PLACEHOLDER,"2008-05-22",359,,,,False,False,False
